Q,A
kva står SDN for?,software-defined networking. 
Kva gjer input port i ein router (4 ting)?, 1. Fysisk lag funksjon: Inputporten avsluttar ein innkommande fysisk link på ruteren (fysisk lag) 2.Link-lag funksjon: Handterer link-lag oppgåver for å samhandle med link-laget på den andre sida av den innkommande linken. 3.Oppslagsfunksjon: Utfører oppslag i forwarding-tabellen for å bestemme kva utport pakken skal sendast til gjennom switch-fabrikken. 4.Kontrollpakkar: Kontrollpakkar som pakkar med ruteprotokollinformasjon blir sendt frå inputporten til ruteprosessoren.
Kva gjer switching fabric i ein router?,Kobler saman inputporten med outputporten
kva gjer output port i ein router?, lagrer pakkar motatt frå switching fabricen og sender pakkane ut på den utgåande linken etter å ha utført nødvendige funksjonar i link-lag og fysisk lag. På ein to-veis link (som bærer trafikk i begge retningar) er outputporten ofte para med inputporten på same line card.
Kva gjer routing processor i ein router?, Utfører controll-plane funksjona.Den kjører routing-protokolla - vedlikehlad routing-tabella og tillhøyrande link-state informasjon. DEn bereknar og forwarding-tabellen for ruteren. Visst det er ein SDN router så kommuniserar den med ekstern kontroller for å mota og installere forwarding.tabelloppføringa i ruterens imputporta. Utfører også nettverksadminsrasjonsfunksjonar.
Kvifor er input- og outputportar samt switching-fabrikken i ein ruter nesten alltid implementert i hardware?,Dei er nesten alltid implementert i hardware fordi dei må operere ekstremt raskt For eksempel med ei 100 Gbps input-link og ein 64-byte IP-datagram har inputporten berre 5.12 ns på å prosessere datagrammet før eit nytt kan komme Dette er altfor raskt for ein programvareimplementasjon spesielt når fleire portar blir kombinert på ei line card noko som krev at prosesseringa må gå enda raskare
Kva er forskjellen i tidsskala mellom databehandlingsfunksjonane i dataplanet og kontrollfunksjonane i kontrollplanet i ein ruter?, Dataplanet opererer på nanosekund-skalaen medan kontrollplanet som inkluderer utføring av routing-protokollar handtering av lenker som går opp eller ned og kommunikasjon med ein ekstern kontroller opererer på millisekund- eller sekundskalaen
Kva er destinasjonsbasert forwarding i analogien med rundkøyring?,Destinasjonsbasert forwarding i analogien handlar om at ein bil stoppar ved ein innkjøringsstasjon og oppgir sitt endelige reisemål Ein assistent ser på reisemålet og bestemmer kva utkjøring frå rundkøyringa bilen skal ta for å komme dit
Kva er generalisert forwarding i analogien med rundkøyring?, Generalisert forwarding i analogien betyr at assistenten bestemmer bilens utkjøring basert på fleire faktorar enn berre reisemålet Det kan vere basert på bilens opphav som staten bilskiltet kjem frå eller bilens modell eller tilstand
Kva er longest prefix-matching-regelen og korleis blir den brukt i routing),Longest prefix-matching-regelen blir brukt i routing for å avgjere kva rute ein pakke skal følgje Den samanliknar destinasjonsadressa til pakken med fleire oppføringar i routing-tabellen og vel den oppføringa som har det lengste samsvarande prefikset Dette sørger for at pakken blir sendt til den mest spesifikke og nøyaktige ruta
Kva er forskjellen mellom DRAM SRAM og TCAM når det kjem til hardware switching og evna til å operere på nanosekund-skalaen?, DRAM er billigare og har høgare kapasitet men er tregare enn SRAM som er raskare og meir kostbar og blir ofte brukt for cache TCAM blir brukt i routing for rask oppslag og kan operere på nanosekund-skalaen ved å søke etter fleire oppføringar samtidig Dette gjer TCAM spesielt nyttig i nettverksutstyr som treng å gjere svært raske beslutningar som i hardware switching
Kva skjer når ein pakke blir blokkert frå å kome inn i switching-fabrikken og kva andre handlingar blir utført ved inputporten?,Når ein pakke blir blokkert frå å kome inn i switching-fabrikken fordi andre pakkar frå andre inputportar bruker fabrikken vil den bli køa ved inputporten og planlagt for å kryssa fabrikken seinare I tillegg til oppslag blir fleire handlingar utført ved inputporten inkludert fysisk- og link-lag-prosessering sjekk av pakkens versjonsnummer kontroll av checksum og time-to-live-feltet samt oppdatering av nettverksstatistikk
Korleis fungerer switching via memory i tidlege routere og kva er den største begrensinga med denne metoden?,I tidlege routere blei switching mellom input- og outputportar styrt direkte av CPUen Inputporten signaliserte til routingprosessoren via eit avbrudd og pakken blei kopiert til prosessorminne før den blei sendt vidare til riktig outputport Den største begrensinga med denne metoden er at berre ein minneoperasjon kan utførast om gongen Dette betyr at to pakkar ikkje kan bli sendt samtidig sjølv om dei har ulike destinasjonsportar
Korleis fungerer switching via bus i ein ruter og kva er den største begrensinga med denne tilnærminga?, Switching via bus fungerer ved at inputporten sender pakken direkte til outputporten over ein delt bus utan at routingprosessoren er involvert Inputporten legg til ein intern label som indikerer kva outputport pakken skal til og sender den på bussen Alle outputportar mottar pakken men berre den som matchar labelen held på pakken Den største begrensinga er at berre ein pakke kan krysse bussen om gongen som avgrensar ruterens switching-hastigheit til bussens hastigheit?
Korleis fungerer switching via ein interconnection network og kva fordel har denne tilnærminga over switching via ein delt bus?,Switching via ein interconnection network fungerer ved å bruke fleire bussar til å kople inputportar til outputportar Ein vanleg implementasjon er ein crossbar switch der kvar inputport kan sende pakkar til ulike outputportar samtidig utan å blokkere andre Dette er mogleg fordi kvar inputport og outputport har sine eigne bussar som kan operere parallelt Dette gjer at fleire pakkar kan bli sendt samtidig i motsetning til switching via ein delt bus som berre tillèt ein pakke om gongen
Kva er input queuing?, Input queuing er når datapakkar ventar ved inngangsporten til ein router fordi dei ikkje kan bli prosesserte raskt nok.
Kva problem kan oppstå med input queuing?, Head-of-line blocking kan oppstå der den første pakken i køen hindrar andre pakkar frå å bli sendte vidare sjølv om dei kunne blitt rutta gjennom andre portar.
Kva er output queuing?, Output queuing skjer når pakkar ventar ved utgangsporten fordi fleire pakkar må gjennom same port enn det kapasiteten tillèt.
Kva er ein risiko ved output queuing?, Output queuing kan føre til forsinkelsar og pakkedropp dersom køen blir for lang.
Kor mykje bufferkapasitet bør ein router ha?, Tradisjonelt bør bufferkapasiteten vere lik produktet av Round-Trip Time (RTT) og lenkekapasiteten (C).
Korleis påverkar fleire TCP-flows bufferkravet?, Når mange TCP-flows passerer gjennom ei lenke kan bufferkravet reduserast ved å bruke formelen B = RTT x C / √N.
Kva er bufferbloat?, Bufferbloat er eit problem der for store buffere i nettverksutstyr fører til høge forsinkingar og dårleg nettverksytelse.
Korleis kan ein løyse bufferbloat?, Bufferbloat kan løysast ved bruk av teknikkar som Active Queue Management (AQM) og CoDel for å redusere køtid og halde forsinkelsane låge.
Kva er FIFO køstyring? , FIFO (First-In First-Out) køstyring sender pakkar i rekkefølga dei kjem inn utan prioritering slik at den første pakken som kjem inn blir sendt ut først.
Kva er Priority Queuing? , Priority Queuing sorterer pakkar i ulike prioritetsnivå og sender pakkar med høgare prioritet først noko som kan føre til at lågare prioriterte pakkar må vente lenger.
Kva er Round Robin køstyring? , Round Robin køstyring fordeler nettverksressursar likt mellom fleire køar ved å sende pakkar frå kvar kø etter tur uavhengig av trafikkmengde.
Kva er Weighted Fair Queuing (WFQ)? , WFQ tildeler ulik vekt til forskjellige køar og sender pakkar basert på desse vektene slik at køar med høgare vekt får meir bandbreidde.
Kva er versjonsnummeret i IPv4-datagrammet? , Versjonsnummeret er 4 bit som indikerer at det er IPv4 som vert brukt.
Kva er header length i IPv4-datagrammet? , Header length er 4 bit som spesifiserer lengda på headeren.
Kva er Time-to-Live (TTL) i IPv4-datagrammet? , TTL er 8 bit som vert brukt til å forhindre at eit datagram sirkulerer uendeleg i nettverket ved å redusere TTL med 1 for kvar router det passerer.
Kva funksjon har protocol-feltet i IPv4-datagrammet? , Protocol-feltet er 8 bit som indikerer kva transportprotokoll (f.eks. TCP eller UDP) som blir brukt i datadelen av datagrammet.
Kva er source og destination IP addresses i IPv4-datagrammet? , Både source og destination IP addresses er 32 bit og representerer kjelde- og destinasjonsadressene for datagrammet.
Kva er eit IPv4-datagram? , Eit IPv4-datagram er ei eining med data som inneheld ein header og ein nyttelast som blir sendt over nettet.
Kva inneheld headeren i eit IPv4-datagram? , Headeren inneheld informasjon som versjonsnummer, header length, TOS, total length, TTL, protokoll, IP-adresser og meir for å styre korleis datagrammet vert behandla.
Kva er nyttelasta (payload) i eit IPv4-datagram? , Nyttelasta er den faktiske datadelen av datagrammet som kan innehalde transport-lag-segment som TCP eller UDP data.
Kva er funksjonen til identifier og fragmentation offset i IPv4-datagrammet? , Desse felta blir brukt for å dele opp store datagram i mindre fragment og sette dei saman igjen ved destinasjonen.
Kor lang er ei IPv4-adresse? , Ei IPv4-adresse er 32 bit lang.
Korleis blir IPv4-adresser skrivne? , IPv4-adresser blir skrivne i dotted-decimal notation der kvar byte er representert som eit desimaltal separert med punktum.
Kva er ei IPv4-adresse tilknytt? , Ei IPv4-adresse er tilknytt eit interface ikkje direkte til verts- eller routerenheita.
Kva er ei subnettmaske? , Ei subnettmaske definerer kor mange bit som tilhøyrer nettverket sitt prefiks og kva del som kan brukast til å identifisere spesifikke verter innanfor subnettet.
Kva er hovudforskjellen mellom IPv4 og IPv6-datagram? , IPv6 har eit større adresseområde og eit enklare header-format som gjer prosessering raskare og støttar fleire enheiter.
Korleis er adressene i IPv6-datagrammet? , IPv6-adresser er 128 bit lange samanlikna med IPv4 sine 32 bit og gir mykje fleire unike adresser.
Kva er Traffic Class-feltet i IPv6-datagrammet? , Traffic Class-feltet er 8 bit som brukast for å prioritere ulike typar trafikk for Quality of Service (QoS).
Kva er funksjonen til Hop Limit i IPv6-datagrammet? , Hop Limit bestemmer kor mange hopp (routerar) ein pakke kan passere før den blir sletta frå nettverket.
Kva er Next Header-feltet i IPv6? , Next Header-feltet spesifiserer typen av neste protokoll eller utvida header som følger etter IPv6-headeren.
Kva er IPv6-tunneling? , IPv6-tunneling er ein metode der IPv6-pakkar blir pakka inn i IPv4-datagram for å bli sendt over IPv4-nettverk.
Kvifor blir IPv6-tunneling brukt? , IPv6-tunneling blir brukt for å støtte overføring av IPv6-pakkar over eksisterande IPv4-infrastruktur under overgangen frå IPv4 til IPv6.
Korleis fungerer IPv6-tunneling? , IPv6-pakkar blir pakka inn i IPv4-datagram slik at IPv4-nettverk kan transportere dei til ein destinasjon som støttar IPv6.
Kva er ein fordel med IPv6-tunneling? , IPv6-tunneling gjer det mogleg å implementere IPv6-nettverk gradvis utan å krevje full overgang til IPv6 i heile infrastrukturen samtidig.
Kva er ei utfordring med IPv6-tunneling? , Ei utfordring med IPv6-tunneling er auka overhead sidan IPv6-pakkar blir pakka inn i IPv4-headerar noko som kan redusere effektiviteten.
Kva heiter ein nettverkslag-pakke? , Nettverkslag-pakken heiter datagram medan transportlags-pakken heiter segment og linklags-pakken heiter ramme. Routerar og linklag-switchar blir begge kalla pakkeswitchar men routerar jobbar på nettverkslaget medan linklag-switchar opererer på linklaget.
Kva er hovudfunksjonane til dataplanelaget og kontrollplanet i nettverkslaget? , Dataplanet sørgjer for forwarding av pakkar gjennom nettverket medan kontrollplanet bestemmer routing for pakkane.
Kva er forskjellen mellom routing og forwarding? , Forwarding handlar om å sende ein pakke frå ein inngangsport til riktig utgangsport på routeren medan routing bestemmer stiar eller ruter pakkar skal følgje gjennom nettverket.
Kva er rolla til ein forwarding-tabell i ein router? , Forwarding-tabellen bestemmer korleis ein router skal sende pakkar vidare til rett utgangsport basert på destinasjonsadressa til pakkane.
Kva er Internettets service-modell? , Internettets nettverkslag er basert på best effort delivery som ikkje garanterer at pakkar vil nå mottakaren eller bli levert i riktig rekkefølge.
Kva komponentar i ein router er implementert i maskinvare og kva er implementert i programvare? , Input- og output-portane og switching-fabric er vanlegvis implementert i maskinvare for rask pakkehandsaming medan routing-prosessoren og kontrollplanet er implementert i programvare for meir fleksibel routing.
Korleis kan input-portar i ein høghastigheitsrouter leggje til rette for raske forwarding-avgjerder? , Input-portar kan innehalde forwarding-logikk som kan avgjere raskt kor pakkar skal sendast vidare utan å involvere sentral prosessering.
Kva er destinasjonsbasert forwarding? , Destinasjonsbasert forwarding baserer seg på destinasjonsadressa til pakkar for å bestemme kvar dei skal sendast vidare. Dette skil seg frå generalisert forwarding der fleire faktorar kan påverke routing-avgjerder slik som i Software-Defined Networking (SDN).
Kva gjer ein router dersom ein pakke samsvarer med fleire oppføringar i forwarding-tabellen? , Routeren brukar den reglane som matcher lengst med destinasjonsadressa for å avgjere kva utgangsport pakken skal sendast til.
Kva er fordelen med å bruke ei samankoplingsnettverk-bytte i staden for å bytte via minne eller buss i ein router? , Samankoplingsnettverk-bytting kan tillate fleire pakkar å bli behandla samtidig og kan skalere betre for høgkapasitetsrouterar.
Kva er rolla til ein pakkescheduler ved utgangsporten til ein router? , Pakkescheduleren bestemmer rekkefølga pakkar blir sendte ut frå routeren basert på køhandteringsalgoritmar som FIFO Round Robin eller Weighted Fair Queuing (WFQ).
Kva er ein drop-tail policy? , Drop-tail er ein køstyringspolitikk der nye pakkar blir droppa dersom køen er full.
Kva er HOL-blocking? , Head-of-line blocking oppstår når den første pakken i køen hindrar andre pakkar frå å bli behandla sjølv om dei kunne blitt sendt raskare. Dette skjer vanlegvis ved input-portane.
Kva køstyringsdisiplin sikrar at pakkar forlèt routeren i den rekkefølga dei kom? , FIFO (First-In First-Out) sikrar at pakkar forlèt routeren i den same rekkefølga dei kom inn.
Kvifor kan ein nettverksoperatør ønskje at éin klasse pakkar skal få prioritet over andre? , Ein nettverksoperatør kan ønskje å gi prioritet til tidskritisk trafikk som stemme- eller videodata for å sikre at slike pakkar blir leverte utan forsinking.
Kva er forskjellen mellom Round Robin (RR) og Weighted Fair Queuing (WFQ)? , RR fordeler ressursar likt mellom køar medan WFQ gir ulike vektar til køane slik at køar med høgare prioritet får fleire ressursar. Om vektene i WFQ er like vil WFQ oppføre seg som RR.
Korleis veit nettverkslaget at eit mottatt IP-datagram skal leverast til TCP og ikkje UDP? , Nettverkslaget brukar "Next Header"-feltet i IP-headeren for å bestemme om datagrammet skal sendast til TCP UDP eller ein annan overliggande protokoll.
Kva felt i IP-headeren kan brukast for å sikre at ein pakke ikkje passerer fleire enn N routerar? , Time-to-Live (TTL)-feltet i IP-headeren sikrar at ein pakke ikkje kan passere meir enn N routerar.
Kor vert mindre datagram reassemblert til større datagram etter fragmentering? , Reassemblering av fragmenterte datagram skjer hos mottakaren som skal motta det komplette datagrammet.
Kor mange IP-adresser har ein router? , Ein router har like mange IP-adresser som han har interfaces sidan kvar interface treng ei eigen IP-adresse.
Kva er den 32-bits binære ekvivalenten av IP-adressa 202.3.14.25? , Den binære ekvivalenten av 202.3.14.25 er 11001010.00000011.00001110.00011001.
Kva er route aggregation og kvifor er det nyttig? , Route aggregation er teknikken der fleire IP-ruter blir slått saman til ein enkelt oppføring i routing-tabellen for å redusere kompleksiteten og storleiken på routing-tabellar.
Kva er ein private network address? , Private IP-adresser er adresser som berre har meining innanfor eit lokalt nettverk og skal aldri visast i det offentlege Internett.
Kva er forskjellen mellom IPv4- og IPv6-headerfelt? , IPv6 har eit enklare headerformat utan felt for fragmentering og checksum medan begge protokollar har felt som versjon lengde og trafikkklasse.
